jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
NORTH DAKOTA,634605,706,12,180,,54,460,12848,2043,9732,1073
OHIO,11470685,40162,590,4671,,18673,16228,420705,100183,279051,41471
OKLAHOMA,3543442,18044,187,1481,,3230,13146,143406,35692,93814,13900
OREGON,3638871,10444,80,1266,,2478,6620,160199,27621,113316,19262
PENNSYLVANIA,12405348,52761,756,3586,,19214,29205,300444,56134,214916,29394
RHODE ISLAND,1073579,2710,34,323,,776,1577,29287,5319,19567,4401
SOUTH CAROLINA,4246933,32590,314,1862,,5657,24757,185606,42741,126489,16376
SOUTH DAKOTA,774883,1387,18,377,,145,847,13694,2505,10350,839
TENNESSEE,5955745,45104,431,2194,,10009,32470,256093,61508,169357,25228
TEXAS,22928508,121091,1407,8511,,35790,75383,990293,219828,677042,93423
UTAH,2490334,5612,56,920,,1095,3541,95546,14971,72082,8493
VERMONT,622387,782,8,153,,76,545,14749,3185,10894,670
VIRGINIA,7564327,21434,458,1763,,7495,11718,200404,29829,154584,15991
WASHINGTON,6291899,21745,205,2811,,5788,12941,307661,60343,198031,49287
WEST VIRGINIA,1814083,4968,82,335,,816,3735,47757,11334,32603,3820
WISCONSIN,5527644,13367,206,1135,,4555,7471,147556,24448,110531,12577
WYOMING,508798,1172,14,122,,78,958,16070,2426,12905,739
ALABAMA,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018
ALASKA,670053,4610,36,512,,600,3462,23975,4155,17284,2536
ARIZONA,6166318,33456,533,2449,,9491,20983,294389,59418,178321,56650
ARKANSAS,2810872,15538,205,1325,,2749,11259,112025,31864,72646,7515
CALIFORNIA,36457549,194483,2486,9235,,71142,111620,1159988,247230,669103,243655
COLORADO,4753377,18794,171,2158,,3824,12641,163439,32411,110372,20656
CONNECTICUT,3504809,10505,137,696,,4460,5212,90638,15583,64765,10290
DELAWARE,853476,5983,42,417,,1791,3733,29670,6337,20449,2884
FLORIDA,18089888,129602,1129,6475,,34147,87851,721101,170873,473774,76454
GEORGIA,9363941,44754,605,2169,,15511,26469,362712,85140,234445,43127
HAWAII,1285498,3608,21,353,,1144,2090,54247,8724,37784,7739
IDAHO,1466465,3666,35,611,,294,2726,35135,7545,25154,2436
ILLINOIS,12831970,69498,780,4078,,23782,40858,387478,77259,272578,37641
INDIANA,6313520,20303,361,1811,,7175,10956,217783,45538,150655,21590
IOWA,2982085,8521,55,871,,1309,6286,84202,18160,60998,5044
KANSAS,2764075,11960,125,1279,,1878,8678,104260,20086,75450,8724
KENTUCKY,4206074,11361,173,1312,,3850,6026,109428,27867,72197,9364
LOUISIANA,4287768,30923,555,1587,,5928,22853,174975,46703,112605,15667
MAINE,1321574,1533,23,341,,383,786,33658,6846,25465,1347
MARYLAND,5615727,38111,546,1178,,14376,22011,195484,37459,127502,30523
MASSACHUSETTS,6437193,32217,188,1771,,8080,22178,153943,35243,100725,17975
MICHIGAN,10095643,56981,721,5347,,14229,36684,325594,76313,199183,50098
MINNESOTA,5167101,16042,126,1645,,5441,8830,159276,30306,115693,13277
MISSISSIPPI,2910540,9076,231,1039,,3259,4547,92853,27117,57406,8330
MISSOURI,5842713,31897,369,1764,,7597,22167,224007,44734,153874,25399
MONTANA,944632,3564,33,348,,233,2950,26986,3380,21659,1947
NEBRASKA,1768331,5197,51,577,,1136,3433,59411,9535,44710,5166
NEVADA,2495529,18687,226,1092,,7038,10331,102338,24902,50429,27007
NEW HAMPSHIRE,1314895,1785,13,295,,435,1042,26060,4395,20179,1486
NEW JERSEY,8724560,30550,427,1201,,13360,15562,198820,39384,134687,24749
NEW MEXICO,1954599,12797,134,1073,,2095,9495,76000,20906,45864,9230
NEW YORK,19306183,84016,922,3168,,34459,45467,398577,68617,297827,32133
NORTH CAROLINA,8856505,42088,539,2495,,13468,25586,364549,107333,227114,30102
NORTH DAKOTA,635867,1255,14,241,,75,925,13359,2601,9672,1086
OHIO,11478006,41491,560,4770,,19418,16743,423334,105639,279718,37977
OKLAHOMA,3579212,17905,210,1488,,3145,13062,129728,34437,81853,13438
OREGON,3700758,10534,88,1219,,2711,6516,137858,24324,98897,14637
PENNSYLVANIA,12440621,55028,741,3611,,21095,29581,304589,57739,217142,29708
RHODE ISLAND,1067610,2460,27,289,,740,1404,27914,5453,18852,3609
SOUTH CAROLINA,4321249,33322,362,1834,,5902,25224,184712,42952,125075,16685
SOUTH DAKOTA,781919,2071,30,465,,158,1418,13812,3024,9954,834
TENNESSEE,6038803,46043,419,2194,,11143,32287,249860,63024,164183,22653
TEXAS,23507783,121602,1386,8429,,37256,74531,959846,215710,648711,95425
UTAH,2550063,5771,51,891,,1242,3587,89572,14721,66480,8371
VERMONT,623908,905,14,173,,114,604,14920,3443,10857,620
VIRGINIA,7642884,21683,403,1829,,7779,11672,190257,32166,143292,14799
WASHINGTON,6395798,22303,197,2748,,6424,12934,288456,58843,183179,46434
WEST VIRGINIA,1818470,5113,80,404,,853,3776,47941,11579,32305,4057
WISCONSIN,5556506,15899,165,1233,,5564,8937,156748,27038,115682,14028
WYOMING,515004,1307,13,151,,72,1071,15381,2322,12255,804
ALABAMA,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238
ALASKA,683478,4520,43,545,,581,3351,23096,3734,16929,2433
ARIZONA,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244
ARKANSAS,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999
CALIFORNIA,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134
COLORADO,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656
CONNECTICUT,3502309,10547,113,690,,4303,5441,86528,15640,60937,9951
DELAWARE,864764,6100,39,341,,1763,3957,29216,6420,20454,2342
FLORIDA,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630
GEORGIA,9544750,46917,720,2198,,17291,26708,371248,90294,238436,42518
HAWAII,1283388,3544,24,377,,1122,2021,52866,9089,37494,6283
IDAHO,1499402,3841,49,607,,243,2942,34124,7131,24727,2266
ILLINOIS,12852548,68528,752,4103,,23100,40573,377322,75524,267911,33887
INDIANA,6345289,21310,350,1738,,7845,11377,213887,46485,147999,19403
IOWA,2988046,8970,39,970,,1328,6633,79133,17176,57018,4939
KANSAS,2775997,12730,106,1287,,2022,9315,102961,20461,73900,8600
KENTUCKY,4241474,12329,206,1365,,4068,6690,107987,27820,71489,8678
LOUISIANA,4293204,31789,625,1427,,6316,23421,180516,46932,118291,15293
MAINE,1317207,1565,20,392,,349,804,32249,6745,24228,1276
MARYLAND,5618344,36063,554,1179,,13258,21072,192796,37095,127308,28393
MASSACHUSETTS,6449755,28487,187,1643,,7021,19636,154743,35767,103925,15051
MICHIGAN,10071822,53765,661,4592,,13365,35147,308550,75273,191289,41988
MINNESOTA,5197621,15054,116,1873,,4770,8295,158257,29717,115892,12648
MISSISSIPPI,2918785,8502,202,1033,,2896,4371,90887,27223,56473,7191
MISSOURI,5878415,32962,367,1785,,7728,23082,225113,44897,156319,23897
MONTANA,957861,3638,27,363,,233,3015,27837,3476,22315,2046
NEBRASKA,1774571,5524,71,550,,1115,3788,55765,9035,41484,5246
NEVADA,2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363
NEW HAMPSHIRE,1315828,1896,12,357,,451,1076,26394,5074,19909,1411
NEW JERSEY,8685920,28544,381,1032,,12567,14564,192338,37234,133145,21959
NEW MEXICO,1969915,13311,183,1028,,2323,9777,75168,20823,45442,8903
NEW YORK,19297729,79962,805,2928,,31085,45144,383624,64914,290681,28029
NORTH CAROLINA,9061032,42231,584,2386,,13534,25727,369893,108700,233241,27952
NORTH DAKOTA,639715,1343,17,252,,75,999,12796,2314,9500,982
OHIO,11466917,40759,529,4661,,18351,17218,397681,99049,264677,33955
OKLAHOMA,3617316,18234,224,1565,,3392,13053,128714,34367,80747,13600
OREGON,3747455,11015,76,1276,,2864,6799,132773,22979,95157,14637
PENNSYLVANIA,12432792,51806,725,3443,,19440,28198,293850,56091,211248,26511
RHODE ISLAND,1057832,2424,19,258,,760,1387,27576,5206,19175,3195
SOUTH CAROLINA,4407709,34630,364,1773,,6354,26139,189304,45398,126802,17104
SOUTH DAKOTA,796214,1926,31,433,,118,1344,13829,2647,10398,784
TENNESSEE,6156719,46482,405,2201,,11033,32843,252342,61817,168807,21718
TEXAS,23904380,122014,1419,8460,,38778,73357,985421,228320,663101,94000
UTAH,2645330,6347,59,935,,1425,3928,93082,15594,68573,8915
VERMONT,621254,802,13,128,,79,582,14702,3200,10853,649
VIRGINIA,7712091,21035,415,1793,,7696,11131,191763,32028,145634,14101
WASHINGTON,6468424,21768,174,2653,,6079,12862,261776,52874,170782,38120
WEST VIRGINIA,1812035,5016,65,388,,847,3716,45620,10822,31321,3477
WISCONSIN,5601640,16330,185,1227,,5480,9438,159305,27890,117957,13458
WYOMING,522830,1344,21,172,,84,1067,15053,2365,11875,813
ALABAMA,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466
